coach,team,years_in_pos,fired,current,success,type,hired_from,prior_p4_or_nfl_hc,former_qb_coach,former_defensive_coach
Kalen DeBoer,Alabama,2,False,True,True,Cignetti,Washington,True,True,False
Brent Brennan,Arizona,2,False,True,TBD,Cignetti,San Jose State,False,False,False
Jedd Fisch,Arizona,3,False,True,True,Rhule,New England Patriots,False,True,False
Kenny Dillingham,Arizona State,3,False,True,True,McGuire,Oregon,False,True,False
Sam Pittman,Arkansas,6,True,False,True,McGuire,Georgia,False,False,False
Hugh Freeze,Auburn,3,True,False,False,Cignetti,Liberty,True,False,False
Bryan Harsin,Auburn,2,True,False,False,Cignetti,Boise State,False,True,False
Dave Aranda,Baylor,6,False,True,True,McGuire,LSU,False,False,True
Bill O'Brien,Boston College,2,False,True,TBD,Rhule,New England Patriots,True,True,False
Jeff Hafley,Boston College,4,False,False,False,Rhule,San Francisco 49ers,False,False,True
Scott Frost,UCF,1,False,True,TBD,Franklin,Nebraska,True,False,True
Gus Malzahn,UCF,4,True,False,False,Franklin,Auburn,True,True,False
Scott Satterfield,Cincinnati,3,False,True,TBD,Cignetti,Louisville,True,True,False
Deion Sanders,Colorado,3,False,True,True,Cignetti,Jackson State,False,False,False
Karl Dorrell,Colorado,3,True,False,False,Rhule,Miami Dolphins,True,True,False
Mel Tucker,Colorado,1,False,False,NA,McGuire,Georgia,False,False,True
Manny Diaz,Duke,2,False,True,True,Franklin,Miami,True,False,True
Mike Elko,Duke,2,False,False,True,McGuire,Texas A&M,False,False,True
Billy Napier,Florida,4,True,False,False,Cignetti,Louisiana,False,True,False
Mike Norvell,Florida State,6,False,True,False,Cignetti,Memphis,False,True,False
Brent Key,Georgia Tech,3,False,True,True,Key,NA,False,False,False
Geoff Collins,Georgia Tech,4,True,False,False,Cignetti,Temple,False,False,True
Willie Fritz,Houston,2,False,True,TBD,Cignetti,Tulane,False,False,True
Dana Holgorsen,Houston,5,True,False,False,Cignetti,West Virginia,True,True,False
Bret Bielema,Illinois,5,False,True,True,Franklin,Arkansas,True,False,True
Curt Cignetti,Indiana,2,False,True,True,Cignetti,James Madison,False,True,False
Lance Leipold,Kansas,5,False,True,True,Cignetti,Buffalo,False,True,False
Les Miles,Kansas,2,True,False,False,Franklin,LSU,True,False,False
Chris Klieman,Kansas State,7,False,True,True,Cignetti,North Dakota State,False,False,True
Jeff Brohm,Louisville,3,False,True,True,Cignetti,Purdue,True,True,False
Scott Satterfield,Louisville,4,False,False,False,Cignetti,Appalachian State,False,True,False
Brian Kelly,LSU,4,True,False,False,Cignetti,Notre Dame,True,False,True
Mike Locksley,Maryland,7,False,True,False,McGuire,Alabama,False,True,False
Mario Cristobal,Miami,4,False,True,True,Cignetti,Oregon,True,False,False
Manny Diaz,Miami,3,True,False,False,Key,NA,False,False,True
Sherrone Moore,Michigan,2,False,True,True,Key,NA,False,False,False
Jonathan Smith,Michigan State,2,False,True,False,Cignetti,Oregon State,True,True,False
Mel Tucker,Michigan State,4,True,False,False,Cignetti,Colorado,True,False,True
Jeff Lebby,Mississippi State,2,False,True,TBD,McGuire,Oklahoma,False,True,False
Zach Arnett,Mississippi State,1,True,False,False,Key,NA,False,False,True
